Time,Greedy,INMA,No Charge
8610,4.01442544916847,1.88366545996612,0.19976375997439
8620,4.00507211678974,1.87564043923126,0.188693119974387
8630,3.99425718441102,1.86961021849639,0.177302479974385
8640,3.98576145203233,1.86278479776152,0.166169439974382
8650,3.97596851965365,1.85633257702666,0.15536079997438
8660,3.96673078727497,1.84901835629179,0.143032559974378
8670,3.95624465489629,1.84235293555693,0.130397919974375
8680,3.94650492251761,1.83263511482206,0.117736479974374
8690,3.93875999013892,1.8265872940872,0.105928239974374
8700,3.93070865776024,1.81972627335233,0.0945331999743742
8710,3.92290612538155,1.81266085261746,0.0811877599743745
8720,3.91292199300287,1.8070794318826,0.0704947199743746
8730,3.90404866062418,1.80224001114773,0.061374479974375
8740,3.8942689282455,1.79482819041287,0.0511746399743755
8750,3.88427599586682,1.787433969678,0.0403659999743759
8760,3.87425626348814,1.78044854894314,0.0301749599743761
8770,3.86497413110946,1.77225472820827,0.0191219199743763
8780,3.85887759873077,1.7650561074734,0
8790,3.85055066635209,1.75848828673854,0
8800,3.8413885339734,1.75079646600367,0
8810,3.83060920159472,1.74387784526881,0
8820,3.82243786921604,1.73639482453394,0
8830,3.81381773683735,1.72808540379907,0
